token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
13891,769UP35-SG,769UP35,,-1.000000,100,,NSE,1.000000
13913,757MH31-SG,757MH31,,-1.000000,100,,NSE,1.000000
13915,764HR31-SG,764HR31,,-1.000000,100,,NSE,1.000000
1393,880IREDA34-N6,880IREDA34,,-1.000000,1,,NSE,1.000000
13947,UTIRFP35P3-MF,UTIRFP35P3,,-1.000000,1,,NSE,1.000000
13959,769AS33-SG,769AS33,,-1.000000,100,,NSE,1.000000
13964,765GJ33-SG,765GJ33,,-1.000000,100,,NSE,1.000000
14,656KA30-SG,656KA30,,-1.000000,100,,NSE,1.000000
13979,773RJ38-SG,773RJ38,,-1.000000,100,,NSE,1.000000
13987,ABSLBANETF-EQ,ABSLBANETF,,-1.000000,1,,NSE,1.000000
13991,771WB39-SG,771WB39,,-1.000000,100,,NSE,1.000000
14101,PTL-EQ,PTL,,-1.000000,1,,NSE,1.000000
14111,NETWORK18-EQ,NETWORK18,,-1.000000,1,,NSE,1.000000
14154,UNOMINDA-EQ,UNOMINDA,,-1.000000,1,,NSE,10.000000
14162,766UP33-SG,766UP33,,-1.000000,100,,NSE,1.000000
14180,NSLNISP-EQ,NSLNISP,,-1.000000,1,,NSE,1.000000
14198,TIMKEN-EQ,TIMKEN,,-1.000000,1,,NSE,10.000000
14278,ORIENTBELL-EQ,ORIENTBELL,,-1.000000,1,,NSE,5.000000
14319,TFL-EQ,TFL,,-1.000000,1,,NSE,1.000000
14325,VIAZ-ST,VIAZ,,-1.000000,2000,,NSE,5.000000
14332,HDFC2638RQ-MF,HDFC2638RQ,,-1.000000,1,,NSE,1.000000
14336,HDFC2638DQ-MF,HDFC2638DQ,,-1.000000,1,,NSE,1.000000
14355,758KL49-SG,758KL49,,-1.000000,100,,NSE,1.000000
14369,773HR32-SG,773HR32,,-1.000000,100,,NSE,1.000000
14374,771GJ33-SG,771GJ33,,-1.000000,100,,NSE,1.000000
1443,671WB40-SG,671WB40,,-1.000000,100,,NSE,1.000000
14403,RAJTV-EQ,RAJTV,,-1.000000,1,,NSE,1.000000
14506,SYSTANGO-SM,SYSTANGO,,-1.000000,400,,NSE,5.000000
14518,ABSLLIQUID-EQ,ABSLLIQUID,,-1.000000,1,,NSE,1.000000
14531,769MH31-SG,769MH31,,-1.000000,100,,NSE,1.000000
14574,MCON-SM,MCON,,-1.000000,1000,,NSE,5.000000
14607,TGBHOTELS-EQ,TGBHOTELS,,-1.000000,1,,NSE,1.000000
14613,QFIL-SM,QFIL,,-1.000000,1000,,NSE,5.000000
14637,772HP31-SG,772HP31,,-1.000000,100,,NSE,1.000000
14638,772HR32-SG,772HR32,,-1.000000,100,,NSE,1.000000
14658,774WB43-SG,774WB43,,-1.000000,100,,NSE,1.000000
14702,NAGREEKEXP-EQ,NAGREEKEXP,,-1.000000,1,,NSE,1.000000
14710,1015SCL28A-AL,1015SCL28A,,-1.000000,1,,NSE,1.000000
14737,HFMPM23RND-MF,HFMPM23RND,,-1.000000,1,,NSE,1.000000
14786,LOWVOL-EQ,LOWVOL,,-1.000000,1,,NSE,1.000000
14813,ADSL-EQ,ADSL,,-1.000000,1,,NSE,1.000000
14821,775NL33-SG,775NL33,,-1.000000,100,,NSE,1.000000
14825,777HR33-SG,777HR33,,-1.000000,100,,NSE,1.000000
14828,WSI-EQ,WSI,,-1.000000,1,,NSE,1.000000
14844,789WB40-SG,789WB40,,-1.000000,100,,NSE,1.000000
14848,ALPA-EQ,ALPA,,-1.000000,1,,NSE,1.000000
14850,777MP47-SG,777MP47,,-1.000000,100,,NSE,1.000000
14858,GOLD1-EQ,GOLD1,,-1.000000,1,,NSE,1.000000
14937,CIEINDIA-EQ,CIEINDIA,,-1.000000,1,,NSE,5.000000
14954,76AP29-SG,76AP29,,-1.000000,100,,NSE,1.000000
14972,KSCL-EQ,KSCL,,-1.000000,1,,NSE,10.000000
15030,ASCOM-ST,ASCOM,,-1.000000,500,,NSE,5.000000
15036,INFINIUM-SM,INFINIUM,,-1.000000,500,,NSE,5.000000
15119,EDELWEISS-EQ,EDELWEISS,,-1.000000,1,,NSE,1.000000
15174,TARIL-EQ,TARIL,,-1.000000,1,,NSE,5.000000
15134,729IRFC26-NN,729IRFC26,,-1.000000,1,,NSE,1.000000
15151,MADHAV-EQ,MADHAV,,-1.000000,1,,NSE,1.000000
15251,866SFIL23A-NY,866SFIL23A,,-1.000000,1,,NSE,1.000000
15254,CEATLTD-EQ,CEATLTD,,-1.000000,1,,NSE,10.000000
15266,JKIL-EQ,JKIL,,-1.000000,1,,NSE,5.000000
15310,744TN33-SG,744TN33,,-1.000000,100,,NSE,1.000000
15356,GOLDETFADD-EQ,GOLDETFADD,,-1.000000,1,,NSE,1.000000
15377,PDMJEPAPER-EQ,PDMJEPAPER,,-1.000000,1,,NSE,1.000000
154,APCOTEXIND-EQ,APCOTEXIND,,-1.000000,1,,NSE,5.000000
15477,74AP31-SG,74AP31,,-1.000000,100,,NSE,1.000000
15744,727GJ31-SG,727GJ31,,-1.000000,100,,NSE,1.000000
15749,733TN33-SG,733TN33,,-1.000000,100,,NSE,1.000000
15750,737AS33-SG,737AS33,,-1.000000,100,,NSE,1.000000
15783,732TS48-SG,732TS48,,-1.000000,100,,NSE,1.000000
15869,AUROIMPEX-SM,AUROIMPEX,,-1.000000,1600,,NSE,5.000000
16049,733UP33-SG,733UP33,,-1.000000,100,,NSE,1.000000
